ReportSystemID;Sprachkenner;ReportKlasse;Bezeichnung;Sortierung;ObjektTyp;ObjektName;Datenquelle;VBG;VB;ET;ParaFilter;ParaAnsicht;ParaMitLogo;ParaKommentar;ParaDoku;DokuName;FilterTyp;Eigentuemer;UnterKlasse;Druckart;Reportgruppe;Datensort
186;DE;W;konkretes Angebot;4;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Angebot;2;NULL;F;NULL;NULL;NULL
186;EN;W;Offer;4;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Angebot;2;NULL;F;NULL;NULL;NULL
186;FR;W;Offre spécifique;4;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Angebot;2;NULL;F;NULL;NULL;NULL
186;IT;W;offerta concreta;4;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Angebot;smtext.Dokument;Angebot;2;NULL;F;NULL;NULL;NULL
187;DE;W;Auftragsbestätigung;8;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Auftragsbestätigung;2;NULL;K;NULL;NULL;NULL
187;EN;W;Confirmation of order;8;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Auftragsbestätigung;2;NULL;K;NULL;NULL;NULL
187;FR;W;Confirmation de commande;8;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Auftragsbestätigung;2;NULL;K;NULL;NULL;NULL
187;IT;W;conferma d´ordine;8;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Auftragsbestätigung;2;NULL;K;NULL;NULL;NULL
188;DE;W;Infoangebot;2;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Infoangebot;2;NULL;F;NULL;NULL;NULL
188;EN;W;Informational offer;2;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Infoangebot;2;NULL;F;NULL;NULL;NULL
188;FR;W;Offre pour information;2;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Infoangebot;2;NULL;F;NULL;NULL;NULL
188;IT;W;offerta d´informazione;2;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;Infoangebot;2;NULL;F;NULL;NULL;NULL
189;DE;W;Auftragseingangsbestätigung;7;2;NULL;NULL;ma_druck;DOKUMENTE;START;smtext.Filter;smtext.Ansicht;NULL;Auftragsbestätigung;smtext.Dokument;AuftragsbestätigungE;2;NULL;K;NULL;NULL;NULL
